ids,DataVizRoles_collapsed,YearsDataVizExperience,DataVizCentralityFreelance,ToolsChoiceFreelance,DataVizCentralityEmployee,ToolsChoiceEmployee,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,OrgSize,ChartsUsed_BeeSwarm,ChartsUsed_Histogram,ChartsUsed_3D,ChartsUsed_Bar,ChartsUsed_PieOrDonut,ChartsUsed_Flow,ChartsUsed_Waffle,ChartsUsed_Line,ChartsUsed_Scatterplot,ChartsUsed_DotPlot,ChartsUsed_Treemap,ChartsUsed_Heatmap,ChartsUsed_Boxplot,ChartsUsed_Hexbin,ChartsUsed_ChoroplethMap,ChartsUsed_OtherGeospatialMap,ChartsUsed_Other__,AI_DataViz_Use,AI_DataViz_Tasks_,AI_DataViz_Tasks_Prep,AI_DataViz_Tasks_Analysis,AI_DataViz_Tasks_Storyboarding,AI_DataViz_Tasks_Visualizations,AI_DataViz_Tasks_VizTasksTeams,AI_DataViz_Tasks_Other,AI_DataViz_Workflow__,ToolsFreq_ArcGIS,ToolsFreq_Canva,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,DV_Technologies2,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,DV_Technologies3,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL,Tools_Other__,ToolsLiking_TopThree__,AudienceFreelance_,AudienceFreelance_Public,AudienceFreelance_Analysts,AudienceFreelance_Engineers,AudienceFreelance_Scientists,AudienceFreelance_Medical,AudienceFreelance_ProdProjManagers,AudienceFreelance_PolicyMakers,AudienceFreelance_Execs,AudienceFreelance_Designers,AudienceFreelance_Researchers,AudienceFreelance_Students,AudienceFreelance_Educators,AudienceFreelance_AdminPersonnel,AudienceFreelance_DataVizEnthusiasts,AudienceFreelance_Self,AudienceFreelance_Other__,AudienceEmployee_,AudienceEmployee_Public,AudienceEmployee_Analysts,AudienceEmployee_Engineers,AudienceEmployee_Scientists,AudienceEmployee_Medical,AudienceEmployee_ProdProjManagers,AudienceEmployee_PolicyMakers,AudienceEmployee_Execs,AudienceEmployee_Designers,AudienceEmployee_Researchers,AudienceEmployee_Students,AudienceEmployee_Educators,AudienceEmployee_AdminPersonnel,AudienceEmployee_DataVizEnthusiasts,AudienceEmployee_Self,AudienceEmployee_Other__,DataVizSharingChannels_,DataVizSharingChannels_EmbeddedInTool,DataVizSharingChannels_Dashboard,DataVizSharingChannels_Scrollytelling,DataVizSharingChannels_StaticWebPage,DataVizSharingChannels_InteractiveNotebook,DataVizSharingChannels_DocumentOrReport,DataVizSharingChannels_Presentations,DataVizSharingChannels_Email,DataVizSharingChannels_NewspaperorMagazine,DataVizSharingChannels_PeerReviewedJournal,DataVizSharingChannels_PrintedOnPaper,DataVizSharingChannels_OtherPhysicalMedium,DataVizSharingChannels_VRorAR,DataVizSharingChannels_Installation,DataVizSharingChannels_App,DataVizSharingChannels_Video,DataVizSharingChannels_SocialMedia,DataVizSharingChannels_Other__
D6L4,EmployeeANDFreelance,6,"Data visualization is one of several things I do in my freelance work, but not a primary or secondary focus in my projects.",I’m able to choose my own tools.,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",I’m able to choose my own tools.,1,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,500–999 employees,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,3,not chosen,not chosen,x,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished
D79C,EmployeeANDFreelance,7,Data visualization is the primary focus of my freelance work.,Clients choose the tool(s) and it causes some problems.,Data visualization is the primary focus of my job.,I’m able to choose my own tools.,1,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,Fewer than 20 employees,x,x,not chosen,x,x,x,x,x,x,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,Yes,4,x,not chosen,x,x,x,not chosen,SMM,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,Never,Never,Sometimes,Never,not chosen,Rarely,Never,Never,Rarely,Rarely,Rarely,Sometimes,Often,Often,Rarely,Often,Sometimes,not chosen,Rarely,Never,Rarely,Never,Often,Never,Rarely,Often,Never,Never,Never,Never,not chosen,"Figma, Power BI, RAWGraphs",5,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,x,x,x,not chosen,3,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,9,not chosen,x,not chosen,x,not chosen,not chosen,x,x,x,not chosen,not chosen,x,not chosen,x,not chosen,x,x,not chosen
D8d3,Employee,10,unasked,unasked,"Data visualization is an important secondary part of my job, but not the primary focus.",I’m able to choose my own tools.,1,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,Fewer than 20 employees,not chosen,x,not chosen,x,x,not chosen,not chosen,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,Yes,1,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Often,not chosen,not chosen,Sometimes,not chosen,not chosen,not chosen,not chosen,Rarely,not chosen,not chosen,Rarely,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Sometimes,not chosen,not chosen,not chosen,not chosen,not chosen,Rarely,not chosen,not chosen,not chosen,not chosen,Often,not chosen,not chosen,Rarely,not chosen,not chosen,not chosen,not chosen,not chosen,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,4,not chosen,not chosen,x,not chosen,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,2,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen
d8T0,Employee,20,unasked,unasked,Data visualization is the primary focus of my job.,I’m able to choose my own tools.,2,not chosen,x,not chosen,not chosen,not chosen,x,not chosen,Fewer than 20 employees,x,x,not chosen,x,x,x,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,Arrow plot,Yes,2,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,Never,Never,Never,Often,Never,Never,Often,Never,Never,Never,Never,Never,Never,not chosen,Never,Never,Never,Rarely,Never,Often,Never,Rarely,Never,Never,Never,Never,not chosen,Never,Never,Never,Never,Rarely,Never,Never,Often,Never,Sometimes,Rarely,Never,Observable and Observable Plot,Observable and Observable Plot,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,6,x,x,not chosen,not chosen,not chosen,x,x,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,2,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
d976,EmployeeAND,8,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",I’m able to choose my own tools.,1,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Nonprofits,20–99 employees,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,not chosen,Yes,5,x,x,x,x,x,not chosen,not chosen,Never,Sometimes,Often,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Never,Never,Sometimes,Never,not chosen,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,not chosen,Rarely,Never,Never,Often,Rarely,Rarely,Never,Often,Never,Never,Never,Never,not chosen,Tableau; PowerBI; R,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,6,not chosen,x,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,x,x,not chosen,not chosen,not chosen,x,not chosen,6,not chosen,x,x,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen
DBiT,Freelance,10,Data visualization is the primary focus of my freelance work.,Clients choose the tool(s) and it causes no problems.,unasked,unasked,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Sometimes,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,not chosen,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Often,Often,not chosen,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,not chosen,"ArcGIS, Power BI",4,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,3,x,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
dDhz,Employee,9,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",I’m able to choose my own tools.,1,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Biological research,100–499 employees,x,x,not chosen,x,not chosen,x,not chosen,x,x,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Sometimes,not chosen,not chosen,Sometimes,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Often,not chosen,not chosen,not chosen,not chosen,Rarely,not chosen,not chosen,not chosen,Often,not chosen,not chosen,not chosen,not chosen,Often,not chosen,not chosen,not chosen,not chosen,not chosen,Sometimes,not chosen,not chosen,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,6,not chosen,not chosen,x,x,not chosen,x,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,5,x,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
Df0l,Employee,10,unasked,unasked,"Data visualization is an important secondary part of my job, but not the primary focus.",I’m able to choose my own tools.,4,x,not chosen,x,not chosen,not chosen,x,Entertainment,"5,000+ employees",not chosen,x,not chosen,x,x,not chosen,not chosen,x,x,x,x,x,not chosen,not chosen,x,x,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,not chosen,Never,Never,Never,Never,Never,Never,Never,Often,Rarely,Never,Sometimes,Often,not chosen,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,not chosen,Good ol' Powerpoint,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,3,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,4,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
dFr1,Employee,6,unasked,unasked,Data visualization is the primary focus of my job.,We have a set list of tools we’re expected to use for data visualization and this causes some problems.,1,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Audit state payments,"1,000–4,999 employees",not chosen,x,x,x,x,not chosen,not chosen,x,x,not chosen,x,x,x,not chosen,not chosen,x,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Never,Never,Never,Never,Often,Rarely,Never,Never,Never,Never,Never,Never,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Often,not chosen,Sometimes,not chosen,not chosen,Rarely,not chosen,not chosen,not chosen,Often,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,4,x,x,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,3,x,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
Dg84,EmployeeAND,Less than 1 year,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",I’m able to choose my own tools.,6,x,x,x,x,x,not chosen,higher education,"5,000+ employees",not chosen,x,not chosen,x,x,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Often,Sometimes,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,not chosen,Never,Never,Never,Never,Never,Sometimes,Never,Often,Sometimes,Never,Never,Often,not chosen,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,not chosen,not chosen,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,5,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,x,not chosen,5,not chosen,not chosen,not chosen,x,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen
dp66,Employee,4,unasked,unasked,"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,1,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,100–499 employees,not chosen,x,not chosen,x,not chosen,x,x,x,x,x,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,Yes,1,not chosen,not chosen,not chosen,x,not chosen,not chosen,to help me with the development part,Never,Never,not chosen,Often,Rarely,Often,Never,Often,Never,Never,Never,Often,Never,not chosen,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,not chosen,Rarely,Rarely,not chosen,not chosen,not chosen,not chosen,Often,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,1,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,1,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen
DqY3,Employee,4,unasked,unasked,Data visualization is the primary focus of my job.,We have a set list of tools we’re expected to use for data visualization and this causes some problems.,1,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,100–499 employees,x,not chosen,not chosen,x,x,not chosen,x,x,x,x,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Sometimes,Rarely,Never,Never,Never,Often,Never,Sometimes,Rarely,Never,Rarely,Rarely,Never,not chosen,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Often,Often,not chosen,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,not chosen,Flourish; PowerBI,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,3,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,3,not chosen,x,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
Dv77,Employee,11,unasked,unasked,Data visualization is the primary focus of my job.,We have a set list of tools we’re expected to use for data visualization and this causes no problems.,1,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,500–999 employees,not chosen,x,not chosen,x,x,not chosen,x,x,x,x,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,not chosen,Rarely,Never,Rarely,Never,Rarely,Never,Never,Often,Sometimes,Never,Often,Sometimes,not chosen,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,not chosen,D3.js;Power BI;ggplot2,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,7,x,x,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,5,x,x,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
dWH7,EmployeeAND,5,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,1,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,"5,000+ employees",not chosen,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,x,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Sometimes,Rarely,Never,Never,Never,Often,Never,Never,Rarely,Never,Rarely,Sometimes,Never,not chosen,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Often,Often,not chosen,Often,Sometimes,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Never,Never,Never,SAS VA,Power BI; Tableau;,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,4,x,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,4,not chosen,x,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
Dx4K,Employee,7,unasked,unasked,"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes no problems.,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,"5,000+ employees",not chosen,x,not chosen,x,not chosen,x,not chosen,x,x,not chosen,x,x,x,not chosen,x,x,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,not chosen,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,not chosen,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Rarely,Never,not chosen,"Tableau, power point",0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,7,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,x,not chosen,x,x,not chosen,x,not chosen,3,not chosen,x,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
dX54,EmployeeAND,7,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished
dz12,EmployeeAND,11,unasked,unasked,Data visualization is the primary focus of my job.,I’m able to choose my own tools.,1,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,20–99 employees,x,x,not chosen,x,x,not chosen,not chosen,x,x,x,not chosen,x,x,not chosen,x,not chosen,bubble; violin; stacked area; ridgeline,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Rarely,Sometimes,Rarely,Sometimes,Often,Often,Often,Often,Often,Never,Never,Rarely,Sometimes,not chosen,Often,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Often,Never,Sometimes,Rarely,Often,not chosen,Sometimes,Never,Never,Often,Never,Sometimes,Never,Often,Rarely,Never,Never,Never,not chosen,ggplot; illustrator,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,5,x,x,not chosen,not chosen,not chosen,x,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,10,x,x,not chosen,x,not chosen,x,x,x,not chosen,x,not chosen,x,not chosen,not chosen,x,not chosen,x,not chosen
E052,Employee,10,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,100–499 employees,not chosen,x,not chosen,x,x,x,x,x,x,x,x,x,not chosen,not chosen,x,not chosen,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Sometimes,Never,Never,Often,Often,Never,Never,Never,Never,Never,Never,Never,not chosen,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,not chosen,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,not chosen,excel and datawrapper,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,5,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,3,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
E070,Employee,12,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",I’m able to choose my own tools.,2,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,20–99 employees,not chosen,x,not chosen,x,x,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Never,Never,Often,Never,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Never,not chosen,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Never,Never,not chosen,Often,Never,Never,Sometimes,Never,Never,Never,Never,Never,Often,Never,Never,not chosen,"D3, Figma, Vue",0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,8,x,x,not chosen,x,x,x,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,x,not chosen,4,not chosen,x,not chosen,x,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
e0P2,Hobbyist,17,unasked,unasked,unasked,unasked,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Slope,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Often,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Often,Often,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,2,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
